loop,loop_back,length,song_count,total_occurrences,walk_constraints,example_chord_instance,example_songs
dom7 fifth,→ fifth (closes),2,1732,11228,fifth|dom7,E A E,nirvana - come as you are|foo fighters - everlong|police - every breath you take|jackson michael - beat it|green day - basket case|ABBA - dancing queen|radiohead - high and dry|Cranberries - Linger
diatonic diatonic,→ diatonic (closes),2,1714,9339,diatonic,Bm A Bm,radiohead - karma police|foo fighters - everlong|police - every breath you take|a-ha - take on me|red hot chilli peppers - under the bridge|jackson michael - beat it|green day - basket case|ABBA - dancing queen
relative relative,→ relative (closes),2,883,3680,relative,Fm G# Fm,foo fighters - everlong|red hot chilli peppers - under the bridge|green day - basket case|Cranberries - Zombie|radiohead - fake plastic trees|soundgarden - black hole sun|weezer - buddy holly|nirvana - dumb
diatonic diatonic diatonic diatonic,→ diatonic (closes),4,745,4144,diatonic,C D C D C,police - every breath you take|red hot chilli peppers - under the bridge|jackson michael - beat it|radiohead - high and dry|toto - africa|AC DC - highway to hell|aerosmith - dream on|Bon Jovi - you give love a bad name
dom7 fifth dom7 fifth,→ fifth (closes),4,676,4299,fifth|dom7,E A E A E,green day - basket case|ABBA - dancing queen|nirvana - all apologies|nirvana - rape me|foo fighters - my hero|Boston - more than a feeling|radiohead - subterranean homesick alien|joel billy - piano man
diatonic dom7 dom7,→ dom7 (closes),3,664,2294,diatonic|dom7,G# A# D# G#,weezer - buddy holly|pink floyd - the great gig in the sky|foo fighters - my hero|sublime - santeria|green day - when i come around|joel billy - uptown girl|Billy Joel - Uptown Girl|Cyndi Lauper - Girls Just Want to Have Fun
diatonic fifth fifth,→ fifth (closes),3,432,1601,fifth|diatonic,D C G D,red hot chilli peppers - under the bridge|Queen - bohemian rhapsody|Queen - Queen Bohemian Rhapsody|CCR - Fortunate Son|Bon Jovi - you give love a bad name|Boston - more than a feeling|Cyndi Lauper - Girls Just Want to Have Fun|Rollin STones - Gimme Shelter
diatonic diatonic dom7 fifth,→ fifth (closes),4,377,1094,fifth|diatonic|dom7,E D E A E,jackson michael - beat it|ABBA - dancing queen|earth wind fire - september|Boston - more than a feeling|Cyndi Lauper - Girls Just Want to Have Fun|joel billy - piano man|Billy Joel - Piano Man|van morrison - brown eyed girl
diatonic diatonic fifth dom7,→ dom7 (closes),4,356,997,fifth|diatonic|dom7,F Gm F C F,green day - basket case|radiohead - high and dry|Cranberries - Linger|spice girls - wannabe|oasis - don't look back in anger|Cyndi Lauper - Time after Time|green day - brain stew|prince - purple rain
borrowed borrowed,→ borrowed (closes),2,348,1197,borrowed,G# F G#,jackson michael - billie jean|ABBA - dancing queen|nirvana - heart shaped box|weezer - buddy holly|nirvana - dumb|nirvana - in bloom|nirvana - rape me|dire straits - sultans of swing
