title,chord_count,chord_sequence,edge_type_sequence,edge_types_found,unmappable_chords
10cc - I'm Not In Love,71,Amaj7 B A Am G#m7 G#7 C#m A Am G#m7 G#7 C#m A B E A Am G#m7 G#7 C#m A Am G#m7 G#7 C#m A B E A Am G#m7 G#7 C#m A Am G#m7 G#7 C#m A B E Am D7 G Em7 Am D7 D E Am D7 G Em7 Am D7 D E A Am G#m7 G#7 C#m A Am G#m7 G#7 C#m A Am Amaj7 B,diatonic diatonic parallel _ parallel dom7 _ parallel _ parallel dom7 _ diatonic dom7 dom7 parallel _ parallel dom7 _ parallel _ parallel dom7 _ diatonic dom7 dom7 parallel _ parallel dom7 _ parallel _ parallel dom7 _ diatonic dom7 dom7 dom7 dom7 relative dom7 dom7 _ diatonic dom7 dom7 dom7 relative dom7 dom7 _ diatonic dom7 parallel _ parallel dom7 _ parallel _ parallel dom7 _ parallel parallel diatonic,diatonic|relative|borrowed|parallel|dom7,
ABBA - Slipping Through My Fingers,132,Bb Bbm F Am Bb Bbm F Am Bb Bbm F Am Bb Csus4 C F Bb C F A Bb C F Bb C F Csus4 C Fsus4 F Bb F Am Gm Bb F Csus4 C F Bb F Am Gm Bb F Csus4 C F Bb Bbm F Am Bb Bbm F Am Bb Bbm F Am Bb Csus4 C F Bb C F A Bb C F Bb C F Csus4 C Fsus4 F Bb F Am Gm Bb F Csus4 C F Bb F Am Gm Bb F Csus4 C F Bb C F A Bb C F Bb C F Bb F Am Gm Bb F Csus4 C F Bb F Am Gm Bb F Csus4 C F Bb Bbm F Am Bb Bbm F Am,parallel borrowed _ diatonic parallel borrowed _ diatonic parallel borrowed _ diatonic diatonic _ dom7 dom7 diatonic dom7 borrowed _ diatonic dom7 dom7 diatonic dom7 fifth _ dom7 _ dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 parallel borrowed _ diatonic parallel borrowed _ diatonic parallel borrowed _ diatonic diatonic _ dom7 dom7 diatonic dom7 borrowed _ diatonic dom7 dom7 diatonic dom7 fifth _ dom7 _ dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 diatonic dom7 borrowed _ diatonic dom7 dom7 diatonic dom7 dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 fifth _ diatonic relative fifth fifth _ dom7 dom7 parallel borrowed _ diatonic parallel borrowed _,fifth|plagal|diatonic|relative|borrowed|parallel|dom7|chromaticMediant,
ABBA - Waterloo,68,D E A G A D E A G D A Bm E A G D A D G A D A D G A D A D E A G A D E A G D A Bm E A G D A D G A D A D G A D A D Bm E A D G A D A D A D A D,diatonic dom7 diatonic diatonic dom7 diatonic dom7 diatonic fifth fifth diatonic dom7 dom7 diatonic fifth fifth dom7 dom7 diatonic dom7 fifth dom7 dom7 diatonic dom7 fifth dom7 diatonic dom7 diatonic diatonic dom7 diatonic dom7 diatonic fifth fifth diatonic dom7 dom7 diatonic fifth fifth dom7 dom7 diatonic dom7 fifth dom7 dom7 diatonic dom7 fifth dom7 relative dom7 dom7 dom7 dom7 diatonic dom7 fifth dom7 fifth dom7 fifth dom7,fifth|plagal|diatonic|relative|borrowed|dom7,
Air Supply - All Out of Love,100,C G F G C F C F C F G Am Fmaj7 G F C F C F G Am Fmaj7 G6 C G F G C G F G C F C F C F G Am Fmaj7 G F C F C F G Am Fmaj7 G6 C G F G C G F G C G Am Em7 F Em Dm Am Em7 F Em Dm F C G F G C G F G C G F G C G F G C G F G C G F G C G F G C,fifth diatonic diatonic dom7 dom7 fifth dom7 fifth dom7 diatonic diatonic _ diatonic diatonic fifth dom7 fifth dom7 diatonic diatonic _ _ _ fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 dom7 fifth dom7 fifth dom7 diatonic diatonic _ diatonic diatonic fifth dom7 fifth dom7 diatonic diatonic _ _ _ fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic fifth diatonic diatonic diatonic fifth fifth diatonic diatonic diatonic relative fifth fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7,fifth|plagal|diatonic|relative|borrowed|dom7|tritoneSub,G6
Alessia Cara - Out Of Love,119,G Am Em7 G Am Em7 G Am Em7 G Am Em7 G Am Em7 Dsus2 D Dsus4 D5 Am D6 D D6 D Bm Bm7 Bm Bm7 Am Em D G Am7 Em7 Csus2 G D Em G Am7 Em7 Csus2 G D Em G Am Em7 G Am Em7 G Am Em7 G Am Em7 Dsus2 D Dsus4 D5 Am D6 D D6 D Bm Bm7 Bm Bm7 Am Em D G Am7 Em7 Csus2 G D Em G Am7 Em7 Csus2 G D Em Am Bm C G Am Bm C G D G Am7 Em7 Csus2 G D Em Csus2 G Am7 Em7 Csus2 G D Em Csus2 G D Em Csus2 G D Em,diatonic fifth relative diatonic fifth relative diatonic fifth relative diatonic fifth relative diatonic fifth diatonic _ _ _ _ _ _ _ _ relative _ _ _ diatonic fifth diatonic dom7 diatonic fifth _ fifth fifth diatonic relative diatonic fifth _ fifth fifth diatonic relative diatonic fifth relative diatonic fifth relative diatonic fifth relative diatonic fifth diatonic _ _ _ _ _ _ _ _ relative _ _ _ diatonic fifth diatonic dom7 diatonic fifth _ fifth fifth diatonic relative diatonic fifth _ fifth fifth diatonic dom7 diatonic diatonic fifth diatonic diatonic diatonic fifth fifth dom7 diatonic fifth _ fifth fifth diatonic _ fifth diatonic fifth _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic,fifth|plagal|diatonic|relative|iiVI|dom7,D5|D6
America - A Horse with No Name,82,Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em D Em F#m7 Em D,diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic,diatonic|iiVI,
America - Sister Golden Hair,63,C#m A E Esus4 E G#m C#m B A E G#m A E G#m A F#m C#m G#m A E G#m A E G#m A F#m C#m G#m A B A E B A E C#m A E Esus4 E G#m C#m B A E G#m A E G#m A F#m C#m G#m A B A E B A E B A E,_ fifth _ _ _ dom7 diatonic diatonic fifth _ diatonic fifth _ diatonic relative fifth fifth diatonic fifth _ diatonic fifth _ diatonic relative fifth fifth diatonic diatonic diatonic fifth fifth diatonic fifth relative _ fifth _ _ _ dom7 diatonic diatonic fifth _ diatonic fifth _ diatonic relative fifth fifth diatonic diatonic diatonic fifth fifth diatonic fifth fifth diatonic fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,
Amy Winehouse - Back To Black,56,Dm Gm Bb A Dm Gm Bb A Dm Gm Bb A Dm Gm Bb A Dm Gm Bb A Dm Gm Dm Gm Bb A Dm Gm Bb A Dm Gm Bb A Dm Gm Bb A Dm Bbmaj7 F A Dm Bbmaj7 F A A7 Dm Gm Bb A Dm Gm Bb A Dm,dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 fifth dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7 _ fifth borrowed dom7 _ fifth borrowed _ dom7 dom7 relative tritoneSub dom7 dom7 relative tritoneSub dom7,fifth|plagal|relative|borrowed|dom7|chromaticMediant|tritoneSub,
Ashe - Moral of the Story,53,Bb Dm Eb Ebm Bb Dm Eb Ebm Bb Dm Eb Ebm Cm F Bb D Eb Ebm Bb D Eb Ebm Bb D Eb Ebm Bb Dm Eb Ebm Bb Dm Eb Ebm Cm F Ab Bb Cm F Bb D Gm F Edim Bb D Eb Ebm Bb D Eb Ebm,_ diatonic parallel borrowed _ diatonic parallel borrowed _ diatonic parallel chromaticMediant dom7 dom7 borrowed _ parallel borrowed borrowed _ parallel borrowed borrowed _ parallel borrowed _ diatonic parallel borrowed _ diatonic parallel chromaticMediant dom7 borrowed diatonic diatonic dom7 dom7 borrowed dom7 diatonic leadingTone _ borrowed _ parallel borrowed borrowed _ parallel,diatonic|iiVI|borrowed|parallel|dom7|leadingTone|chromaticMediant,
Audrey Hepburn - Moon River,23,C Am F C Am C7 F Bb9 C Am F C F C F C Am Dm7 G7 F C F C,relative _ fifth relative relative dom7 _ _ relative _ fifth dom7 fifth dom7 fifth relative dom7 dom7 diatonic fifth dom7 fifth,fifth|plagal|diatonic|relative|borrowed|dom7,Bb9
Auld Lang Syne (key of C),32,C Am Dm7 G7 C C7 F F#dim C Am Dm7 G7 E7 Am7 F C Em Am Dm7 G7 C C7 F F#dim C Am Dm7 G7 E7 Am7 F C,relative dom7 dom7 dom7 _ dom7 _ _ relative dom7 dom7 borrowed dom7 _ fifth _ dom7 dom7 dom7 dom7 _ dom7 _ _ relative dom7 dom7 borrowed dom7 _ fifth,fifth|plagal|relative|borrowed|dom7|chromaticMediant,
Auld Lang Syne (key of G),32,G Em Am7 D7 G G7 C C#dim G Em Am7 D7 B7 Em7 C G Bm Em Am7 D7 G G7 C C#dim G Em Am7 D7 B7 Em7 C G,relative dom7 dom7 dom7 _ dom7 _ _ relative dom7 dom7 borrowed dom7 _ fifth _ dom7 dom7 dom7 dom7 _ dom7 _ _ relative dom7 dom7 borrowed dom7 _ fifth,fifth|plagal|relative|borrowed|dom7|chromaticMediant,
Barry Manilow - Mandy,149,Bbsus2 F Ebsus2 Ebmaj7 Eb Bbsus2 F Bbsus2 F Cm Abmaj7 Eb Bbsus2 F Bbsus2 F Cm Abmaj7 Eb Bb Gm Eb F Eb Bb Bbadd2 Gm Eb Bbsus2 F Cm Abmaj7 Eb Bb Gm Eb F Eb Bb Gm Eb F Eb Gm Dm Eb Cm Fsus4 F Cm Abmaj7 Eb Bb Gm Eb F Eb Bb Gm Eb F Eb C Am F G F C Am F G F C D Bb C Bb C D Bb A D C A D Eb F Bb F Bb F Bb F Bb F Bb F Bb F Bb C D Eb G Bb G D Eb F G Eb Bb Eb Bb C Eb Bb G Eb Bb F Eb F G Bb D Bb Eb D C D C Bb F G Bb G Bb F Bb D G D Eb Bb F C F Bb,fifth diatonic _ _ fifth fifth dom7 fifth _ _ fifth fifth fifth dom7 fifth _ _ fifth fifth relative _ diatonic diatonic fifth _ _ _ fifth fifth _ _ fifth fifth relative _ diatonic diatonic fifth relative _ diatonic diatonic _ fifth diatonic relative dom7 _ _ _ fifth fifth relative _ diatonic diatonic fifth relative _ diatonic diatonic borrowed relative _ diatonic diatonic fifth relative _ diatonic diatonic fifth diatonic borrowed diatonic diatonic diatonic diatonic borrowed tritoneSub dom7 diatonic borrowed dom7 _ diatonic dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 diatonic diatonic _ borrowed borrowed borrowed fifth _ diatonic diatonic borrowed fifth dom7 fifth diatonic borrowed fifth borrowed borrowed fifth fifth diatonic diatonic diatonic borrowed borrowed borrowed dom7 tritoneSub diatonic diatonic diatonic diatonic fifth diatonic borrowed borrowed borrowed fifth dom7 borrowed dom7 fifth _ fifth fifth fifth dom7 dom7,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant|tritoneSub,Bbadd2
Beach House - Space Song,69,Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Gm Eb Gm Cm Gm Fm Ab Eb Gm Cm Gm Fm Ab Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Bb6 Eb Cm Fm Gm Eb Gm Cm Gm Fm Ab Eb Gm Cm Gm Fm Ab Eb,relative dom7 _ _ relative dom7 _ _ relative dom7 _ _ relative dom7 _ _ relative dom7 diatonic _ _ dom7 fifth diatonic relative fifth _ dom7 fifth diatonic relative fifth relative dom7 _ _ relative dom7 _ _ relative dom7 _ _ relative dom7 _ _ relative dom7 _ _ relative dom7 diatonic _ _ dom7 fifth diatonic relative fifth _ dom7 fifth diatonic relative fifth,fifth|plagal|diatonic|relative|dom7,Bb6
Bee Gees - To Love Somebody,54,A Bm D A G A E D7 A Bm D A G A E D7 A E D A E D A Bm D A G A E D7 A Bm D A G A E D7 A E D A E D A E A E D A E D A E,diatonic relative fifth diatonic diatonic fifth diatonic fifth diatonic relative fifth diatonic diatonic fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth diatonic relative fifth diatonic diatonic fifth diatonic fifth diatonic relative fifth diatonic diatonic fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth dom7 fifth diatonic fifth fifth diatonic fifth fifth,fifth|plagal|diatonic|relative|borrowed|dom7,
Ben E. King - Stand By Me,59,A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A F#m D E7 A E G# A G# F# E F# E D F# E G# A E G# A E G#,relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ diatonic dom7 fifth borrowed _ tritoneSub diatonic diatonic diatonic diatonic diatonic borrowed diatonic borrowed _ fifth borrowed _ fifth borrowed,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant|tritoneSub,
Bette Midler - The Rose,52,C G F G C G F G C Em Am F G C G F G C G F G C G F G C Em Am F G C G F G C G F G C G F G C Em Am F G C G F G C,fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 _ dom7 _ diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 _ dom7 _ diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 fifth diatonic diatonic dom7 _ dom7 _ diatonic dom7 fifth diatonic diatonic dom7,fifth|plagal|diatonic|borrowed|dom7,
Big Thief - Masterpiece,98,A E B A E B A E B A E B A E A E B C#m E C#m E A E B A E B A E B A E B A E A E B C#m E C#m E A E B A E B A E B A E B A E A E B C#m E C#m E A E B A E B A E B A E B A E B A E B A E B A E B A E A E B C#m E C#m E C#m E,fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth dom7 fifth fifth diatonic relative relative relative dom7 fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth dom7 fifth fifth diatonic relative relative relative dom7 fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth dom7 fifth fifth diatonic relative relative relative dom7 fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth dom7 fifth fifth diatonic relative relative relative relative relative,fifth|plagal|diatonic|relative|borrowed|dom7,
Bill Withers - Lean on Me,99,C Dm Em F Em Dm C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm C G7 C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm C G7 C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm C G7 C G7 C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm C G7 C G7 C Dm Edim F Em Dm C Dm Edim F Em Dm C Dm C G7 C Dm C,diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic fifth dom7 diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic fifth dom7 diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic fifth dom7 fifth dom7 diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic fifth dom7 fifth dom7 diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic leadingTone diatonic diatonic diatonic diatonic diatonic fifth dom7 diatonic diatonic,fifth|plagal|diatonic|iiVI|dom7|leadingTone|tritoneSub,
Billie Eilish - Getting Older,98,Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Gm Cm F Bb Ab Gm Cm Ebm Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Gm Cm F Ebm Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Gm Cm F Bb Ab Gm Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Cm F Bb Ab Gm Bb Dm Gm Bb Eb Gm Bb Dm Gm Bb Eb Gm Cm F Bb Ab Gm Bb Dm Gm Bb Eb Gm Bb Dm,_ dom7 relative dom7 _ relative _ dom7 relative dom7 _ relative _ dom7 relative dom7 _ dom7 dom7 dom7 diatonic diatonic dom7 chromaticMediant borrowed _ dom7 relative dom7 _ relative _ dom7 relative dom7 _ dom7 dom7 _ borrowed _ dom7 relative dom7 _ relative _ dom7 relative dom7 _ dom7 dom7 dom7 diatonic diatonic relative _ dom7 relative dom7 _ relative _ dom7 relative dom7 relative dom7 dom7 diatonic diatonic relative _ dom7 relative dom7 _ relative _ dom7 relative dom7 _ dom7 dom7 dom7 diatonic diatonic relative _ dom7 relative dom7 _ relative _,diatonic|relative|borrowed|dom7|chromaticMediant|tritoneSub,
