songId,bar,time
billie-jean,1,0
billie-jean,2,2
billie-jean,3,4
billie-jean,4,6
billie-jean,5,8
billie-jean,6,10
billie-jean,7,12
billie-jean,8,14
billie-jean,9,16
billie-jean,10,18
billie-jean,11,20
billie-jean,12,22
billie-jean,13,24
billie-jean,14,26
billie-jean,15,28
billie-jean,16,30
billie-jean,17,32
billie-jean,18,34
billie-jean,19,36
billie-jean,20,38
billie-jean,21,40
billie-jean,22,42
billie-jean,23,44
billie-jean,24,46
billie-jean,25,48
billie-jean,26,50
billie-jean,27,52
billie-jean,28,54
billie-jean,29,56
billie-jean,30,58
billie-jean,31,60
billie-jean,32,62
billie-jean,33,64
billie-jean,34,66
billie-jean,35,68
billie-jean,36,70
billie-jean,37,72
billie-jean,38,74
billie-jean,39,76
billie-jean,40,78
billie-jean,41,80
billie-jean,42,82
billie-jean,43,84
billie-jean,44,86
billie-jean,45,88
billie-jean,46,90
billie-jean,47,92
billie-jean,48,94
billie-jean,49,96
billie-jean,50,98
billie-jean,51,100
billie-jean,52,102
billie-jean,53,104
billie-jean,54,106
billie-jean,55,108
billie-jean,56,110
billie-jean,57,112
billie-jean,58,114
billie-jean,59,116
billie-jean,60,118
billie-jean,61,120
billie-jean,62,122
billie-jean,63,124
billie-jean,64,126
billie-jean,65,128
billie-jean,66,130
billie-jean,67,132
billie-jean,68,134
billie-jean,69,136
billie-jean,70,138
billie-jean,71,140
billie-jean,72,142
billie-jean,73,144
billie-jean,74,146
billie-jean,75,148
billie-jean,76,150
billie-jean,77,152
billie-jean,78,154
billie-jean,79,156
billie-jean,80,158
billie-jean,81,160
billie-jean,82,162
billie-jean,83,164
billie-jean,84,166
billie-jean,85,168
billie-jean,86,170
billie-jean,87,172
billie-jean,88,174
billie-jean,89,176
billie-jean,90,178
billie-jean,91,180
billie-jean,92,182
billie-jean,93,184
billie-jean,94,186
billie-jean,95,188
billie-jean,96,190
billie-jean,97,192
billie-jean,98,194
billie-jean,99,196
billie-jean,100,198
billie-jean,101,200
billie-jean,102,202
billie-jean,103,204
billie-jean,104,206
billie-jean,105,208
billie-jean,106,210
billie-jean,107,212
billie-jean,108,214
billie-jean,109,216
billie-jean,110,218
billie-jean,111,220
billie-jean,112,222
billie-jean,113,224
billie-jean,114,226
billie-jean,115,228
billie-jean,116,230
billie-jean,117,232
billie-jean,118,234
billie-jean,119,236
billie-jean,120,238
billie-jean,121,240
billie-jean,122,242
billie-jean,123,244
billie-jean,124,246
billie-jean,125,248
billie-jean,126,250
billie-jean,127,252
billie-jean,128,254
billie-jean,129,256
billie-jean,130,258
billie-jean,131,260
billie-jean,132,262
billie-jean,133,264
billie-jean,134,266
billie-jean,135,268
billie-jean,136,270
billie-jean,137,272
billie-jean,138,274
billie-jean,139,276
billie-jean,140,278
billie-jean,141,280
