songId,bar,beat,time
billie-jean,1,1,0
billie-jean,1,2,0.5
billie-jean,1,3,1
billie-jean,1,4,1.5
billie-jean,2,1,2
billie-jean,2,2,2.5
billie-jean,2,3,3
billie-jean,2,4,3.5
billie-jean,3,1,4
billie-jean,3,2,4.5
billie-jean,3,3,5
billie-jean,3,4,5.5
billie-jean,4,1,6
billie-jean,4,2,6.5
billie-jean,4,3,7
billie-jean,4,4,7.5
billie-jean,5,1,8
billie-jean,5,2,8.5
billie-jean,5,3,9
billie-jean,5,4,9.5
billie-jean,6,1,10
billie-jean,6,2,10.5
billie-jean,6,3,11
billie-jean,6,4,11.5
billie-jean,7,1,12
billie-jean,7,2,12.5
billie-jean,7,3,13
billie-jean,7,4,13.5
billie-jean,8,1,14
billie-jean,8,2,14.5
billie-jean,8,3,15
billie-jean,8,4,15.5
billie-jean,9,1,16
billie-jean,9,2,16.5
billie-jean,9,3,17
billie-jean,9,4,17.5
billie-jean,10,1,18
billie-jean,10,2,18.5
billie-jean,10,3,19
billie-jean,10,4,19.5
billie-jean,11,1,20
billie-jean,11,2,20.5
billie-jean,11,3,21
billie-jean,11,4,21.5
billie-jean,12,1,22
billie-jean,12,2,22.5
billie-jean,12,3,23
billie-jean,12,4,23.5
billie-jean,13,1,24
billie-jean,13,2,24.5
billie-jean,13,3,25
billie-jean,13,4,25.5
billie-jean,14,1,26
billie-jean,14,2,26.5
billie-jean,14,3,27
billie-jean,14,4,27.5
billie-jean,15,1,28
billie-jean,15,2,28.5
billie-jean,15,3,29
billie-jean,15,4,29.5
billie-jean,16,1,30
billie-jean,16,2,30.5
billie-jean,16,3,31
billie-jean,16,4,31.5
billie-jean,17,1,32
billie-jean,17,2,32.5
billie-jean,17,3,33
billie-jean,17,4,33.5
billie-jean,18,1,34
billie-jean,18,2,34.5
billie-jean,18,3,35
billie-jean,18,4,35.5
billie-jean,19,1,36
billie-jean,19,2,36.5
billie-jean,19,3,37
billie-jean,19,4,37.5
billie-jean,20,1,38
billie-jean,20,2,38.5
billie-jean,20,3,39
billie-jean,20,4,39.5
billie-jean,21,1,40
billie-jean,21,2,40.5
billie-jean,21,3,41
billie-jean,21,4,41.5
billie-jean,22,1,42
billie-jean,22,2,42.5
billie-jean,22,3,43
billie-jean,22,4,43.5
billie-jean,23,1,44
billie-jean,23,2,44.5
billie-jean,23,3,45
billie-jean,23,4,45.5
billie-jean,24,1,46
billie-jean,24,2,46.5
billie-jean,24,3,47
billie-jean,24,4,47.5
billie-jean,25,1,48
billie-jean,25,2,48.5
billie-jean,25,3,49
billie-jean,25,4,49.5
billie-jean,26,1,50
billie-jean,26,2,50.5
billie-jean,26,3,51
billie-jean,26,4,51.5
billie-jean,27,1,52
billie-jean,27,2,52.5
billie-jean,27,3,53
billie-jean,27,4,53.5
billie-jean,28,1,54
billie-jean,28,2,54.5
billie-jean,28,3,55
billie-jean,28,4,55.5
billie-jean,29,1,56
billie-jean,29,2,56.5
billie-jean,29,3,57
billie-jean,29,4,57.5
billie-jean,30,1,58
billie-jean,30,2,58.5
billie-jean,30,3,59
billie-jean,30,4,59.5
billie-jean,31,1,60
billie-jean,31,2,60.5
billie-jean,31,3,61
billie-jean,31,4,61.5
billie-jean,32,1,62
billie-jean,32,2,62.5
billie-jean,32,3,63
billie-jean,32,4,63.5
billie-jean,33,1,64
billie-jean,33,2,64.5
billie-jean,33,3,65
billie-jean,33,4,65.5
billie-jean,34,1,66
billie-jean,34,2,66.5
billie-jean,34,3,67
billie-jean,34,4,67.5
billie-jean,35,1,68
billie-jean,35,2,68.5
billie-jean,35,3,69
billie-jean,35,4,69.5
billie-jean,36,1,70
billie-jean,36,2,70.5
billie-jean,36,3,71
billie-jean,36,4,71.5
billie-jean,37,1,72
billie-jean,37,2,72.5
billie-jean,37,3,73
billie-jean,37,4,73.5
billie-jean,38,1,74
billie-jean,38,2,74.5
billie-jean,38,3,75
billie-jean,38,4,75.5
billie-jean,39,1,76
billie-jean,39,2,76.5
billie-jean,39,3,77
billie-jean,39,4,77.5
billie-jean,40,1,78
billie-jean,40,2,78.5
billie-jean,40,3,79
billie-jean,40,4,79.5
billie-jean,41,1,80
billie-jean,41,2,80.5
billie-jean,41,3,81
billie-jean,41,4,81.5
billie-jean,42,1,82
billie-jean,42,2,82.5
billie-jean,42,3,83
billie-jean,42,4,83.5
billie-jean,43,1,84
billie-jean,43,2,84.5
billie-jean,43,3,85
billie-jean,43,4,85.5
billie-jean,44,1,86
billie-jean,44,2,86.5
billie-jean,44,3,87
billie-jean,44,4,87.5
billie-jean,45,1,88
billie-jean,45,2,88.5
billie-jean,45,3,89
billie-jean,45,4,89.5
billie-jean,46,1,90
billie-jean,46,2,90.5
billie-jean,46,3,91
billie-jean,46,4,91.5
billie-jean,47,1,92
billie-jean,47,2,92.5
billie-jean,47,3,93
billie-jean,47,4,93.5
billie-jean,48,1,94
billie-jean,48,2,94.5
billie-jean,48,3,95
billie-jean,48,4,95.5
billie-jean,49,1,96
billie-jean,49,2,96.5
billie-jean,49,3,97
billie-jean,49,4,97.5
billie-jean,50,1,98
billie-jean,50,2,98.5
billie-jean,50,3,99
billie-jean,50,4,99.5
billie-jean,51,1,100
billie-jean,51,2,100.5
billie-jean,51,3,101
billie-jean,51,4,101.5
billie-jean,52,1,102
billie-jean,52,2,102.5
billie-jean,52,3,103
billie-jean,52,4,103.5
billie-jean,53,1,104
billie-jean,53,2,104.5
billie-jean,53,3,105
billie-jean,53,4,105.5
billie-jean,54,1,106
billie-jean,54,2,106.5
billie-jean,54,3,107
billie-jean,54,4,107.5
billie-jean,55,1,108
billie-jean,55,2,108.5
billie-jean,55,3,109
billie-jean,55,4,109.5
billie-jean,56,1,110
billie-jean,56,2,110.5
billie-jean,56,3,111
billie-jean,56,4,111.5
billie-jean,57,1,112
billie-jean,57,2,112.5
billie-jean,57,3,113
billie-jean,57,4,113.5
billie-jean,58,1,114
billie-jean,58,2,114.5
billie-jean,58,3,115
billie-jean,58,4,115.5
billie-jean,59,1,116
billie-jean,59,2,116.5
billie-jean,59,3,117
billie-jean,59,4,117.5
billie-jean,60,1,118
billie-jean,60,2,118.5
billie-jean,60,3,119
billie-jean,60,4,119.5
billie-jean,61,1,120
billie-jean,61,2,120.5
billie-jean,61,3,121
billie-jean,61,4,121.5
billie-jean,62,1,122
billie-jean,62,2,122.5
billie-jean,62,3,123
billie-jean,62,4,123.5
billie-jean,63,1,124
billie-jean,63,2,124.5
billie-jean,63,3,125
billie-jean,63,4,125.5
billie-jean,64,1,126
billie-jean,64,2,126.5
billie-jean,64,3,127
billie-jean,64,4,127.5
billie-jean,65,1,128
billie-jean,65,2,128.5
billie-jean,65,3,129
billie-jean,65,4,129.5
billie-jean,66,1,130
billie-jean,66,2,130.5
billie-jean,66,3,131
billie-jean,66,4,131.5
billie-jean,67,1,132
billie-jean,67,2,132.5
billie-jean,67,3,133
billie-jean,67,4,133.5
billie-jean,68,1,134
billie-jean,68,2,134.5
billie-jean,68,3,135
billie-jean,68,4,135.5
billie-jean,69,1,136
billie-jean,69,2,136.5
billie-jean,69,3,137
billie-jean,69,4,137.5
billie-jean,70,1,138
billie-jean,70,2,138.5
billie-jean,70,3,139
billie-jean,70,4,139.5
billie-jean,71,1,140
billie-jean,71,2,140.5
billie-jean,71,3,141
billie-jean,71,4,141.5
billie-jean,72,1,142
billie-jean,72,2,142.5
billie-jean,72,3,143
billie-jean,72,4,143.5
billie-jean,73,1,144
billie-jean,73,2,144.5
billie-jean,73,3,145
billie-jean,73,4,145.5
billie-jean,74,1,146
billie-jean,74,2,146.5
billie-jean,74,3,147
billie-jean,74,4,147.5
billie-jean,75,1,148
billie-jean,75,2,148.5
billie-jean,75,3,149
billie-jean,75,4,149.5
billie-jean,76,1,150
billie-jean,76,2,150.5
billie-jean,76,3,151
billie-jean,76,4,151.5
billie-jean,77,1,152
billie-jean,77,2,152.5
billie-jean,77,3,153
billie-jean,77,4,153.5
billie-jean,78,1,154
billie-jean,78,2,154.5
billie-jean,78,3,155
billie-jean,78,4,155.5
billie-jean,79,1,156
billie-jean,79,2,156.5
billie-jean,79,3,157
billie-jean,79,4,157.5
billie-jean,80,1,158
billie-jean,80,2,158.5
billie-jean,80,3,159
billie-jean,80,4,159.5
billie-jean,81,1,160
billie-jean,81,2,160.5
billie-jean,81,3,161
billie-jean,81,4,161.5
billie-jean,82,1,162
billie-jean,82,2,162.5
billie-jean,82,3,163
billie-jean,82,4,163.5
billie-jean,83,1,164
billie-jean,83,2,164.5
billie-jean,83,3,165
billie-jean,83,4,165.5
billie-jean,84,1,166
billie-jean,84,2,166.5
billie-jean,84,3,167
billie-jean,84,4,167.5
billie-jean,85,1,168
billie-jean,85,2,168.5
billie-jean,85,3,169
billie-jean,85,4,169.5
billie-jean,86,1,170
billie-jean,86,2,170.5
billie-jean,86,3,171
billie-jean,86,4,171.5
billie-jean,87,1,172
billie-jean,87,2,172.5
billie-jean,87,3,173
billie-jean,87,4,173.5
billie-jean,88,1,174
billie-jean,88,2,174.5
billie-jean,88,3,175
billie-jean,88,4,175.5
billie-jean,89,1,176
billie-jean,89,2,176.5
billie-jean,89,3,177
billie-jean,89,4,177.5
billie-jean,90,1,178
billie-jean,90,2,178.5
billie-jean,90,3,179
billie-jean,90,4,179.5
billie-jean,91,1,180
billie-jean,91,2,180.5
billie-jean,91,3,181
billie-jean,91,4,181.5
billie-jean,92,1,182
billie-jean,92,2,182.5
billie-jean,92,3,183
billie-jean,92,4,183.5
billie-jean,93,1,184
billie-jean,93,2,184.5
billie-jean,93,3,185
billie-jean,93,4,185.5
billie-jean,94,1,186
billie-jean,94,2,186.5
billie-jean,94,3,187
billie-jean,94,4,187.5
billie-jean,95,1,188
billie-jean,95,2,188.5
billie-jean,95,3,189
billie-jean,95,4,189.5
billie-jean,96,1,190
billie-jean,96,2,190.5
billie-jean,96,3,191
billie-jean,96,4,191.5
billie-jean,97,1,192
billie-jean,97,2,192.5
billie-jean,97,3,193
billie-jean,97,4,193.5
billie-jean,98,1,194
billie-jean,98,2,194.5
billie-jean,98,3,195
billie-jean,98,4,195.5
billie-jean,99,1,196
billie-jean,99,2,196.5
billie-jean,99,3,197
billie-jean,99,4,197.5
billie-jean,100,1,198
billie-jean,100,2,198.5
billie-jean,100,3,199
billie-jean,100,4,199.5
billie-jean,101,1,200
billie-jean,101,2,200.5
billie-jean,101,3,201
billie-jean,101,4,201.5
billie-jean,102,1,202
billie-jean,102,2,202.5
billie-jean,102,3,203
billie-jean,102,4,203.5
billie-jean,103,1,204
billie-jean,103,2,204.5
billie-jean,103,3,205
billie-jean,103,4,205.5
billie-jean,104,1,206
billie-jean,104,2,206.5
billie-jean,104,3,207
billie-jean,104,4,207.5
billie-jean,105,1,208
billie-jean,105,2,208.5
billie-jean,105,3,209
billie-jean,105,4,209.5
billie-jean,106,1,210
billie-jean,106,2,210.5
billie-jean,106,3,211
billie-jean,106,4,211.5
billie-jean,107,1,212
billie-jean,107,2,212.5
billie-jean,107,3,213
billie-jean,107,4,213.5
billie-jean,108,1,214
billie-jean,108,2,214.5
billie-jean,108,3,215
billie-jean,108,4,215.5
billie-jean,109,1,216
billie-jean,109,2,216.5
billie-jean,109,3,217
billie-jean,109,4,217.5
billie-jean,110,1,218
billie-jean,110,2,218.5
billie-jean,110,3,219
billie-jean,110,4,219.5
billie-jean,111,1,220
billie-jean,111,2,220.5
billie-jean,111,3,221
billie-jean,111,4,221.5
billie-jean,112,1,222
billie-jean,112,2,222.5
billie-jean,112,3,223
billie-jean,112,4,223.5
billie-jean,113,1,224
billie-jean,113,2,224.5
billie-jean,113,3,225
billie-jean,113,4,225.5
billie-jean,114,1,226
billie-jean,114,2,226.5
billie-jean,114,3,227
billie-jean,114,4,227.5
billie-jean,115,1,228
billie-jean,115,2,228.5
billie-jean,115,3,229
billie-jean,115,4,229.5
billie-jean,116,1,230
billie-jean,116,2,230.5
billie-jean,116,3,231
billie-jean,116,4,231.5
billie-jean,117,1,232
billie-jean,117,2,232.5
billie-jean,117,3,233
billie-jean,117,4,233.5
billie-jean,118,1,234
billie-jean,118,2,234.5
billie-jean,118,3,235
billie-jean,118,4,235.5
billie-jean,119,1,236
billie-jean,119,2,236.5
billie-jean,119,3,237
billie-jean,119,4,237.5
billie-jean,120,1,238
billie-jean,120,2,238.5
billie-jean,120,3,239
billie-jean,120,4,239.5
billie-jean,121,1,240
billie-jean,121,2,240.5
billie-jean,121,3,241
billie-jean,121,4,241.5
billie-jean,122,1,242
billie-jean,122,2,242.5
billie-jean,122,3,243
billie-jean,122,4,243.5
billie-jean,123,1,244
billie-jean,123,2,244.5
billie-jean,123,3,245
billie-jean,123,4,245.5
billie-jean,124,1,246
billie-jean,124,2,246.5
billie-jean,124,3,247
billie-jean,124,4,247.5
billie-jean,125,1,248
billie-jean,125,2,248.5
billie-jean,125,3,249
billie-jean,125,4,249.5
billie-jean,126,1,250
billie-jean,126,2,250.5
billie-jean,126,3,251
billie-jean,126,4,251.5
billie-jean,127,1,252
billie-jean,127,2,252.5
billie-jean,127,3,253
billie-jean,127,4,253.5
billie-jean,128,1,254
billie-jean,128,2,254.5
billie-jean,128,3,255
billie-jean,128,4,255.5
billie-jean,129,1,256
billie-jean,129,2,256.5
billie-jean,129,3,257
billie-jean,129,4,257.5
billie-jean,130,1,258
billie-jean,130,2,258.5
billie-jean,130,3,259
billie-jean,130,4,259.5
billie-jean,131,1,260
billie-jean,131,2,260.5
billie-jean,131,3,261
billie-jean,131,4,261.5
billie-jean,132,1,262
billie-jean,132,2,262.5
billie-jean,132,3,263
billie-jean,132,4,263.5
billie-jean,133,1,264
billie-jean,133,2,264.5
billie-jean,133,3,265
billie-jean,133,4,265.5
billie-jean,134,1,266
billie-jean,134,2,266.5
billie-jean,134,3,267
billie-jean,134,4,267.5
billie-jean,135,1,268
billie-jean,135,2,268.5
billie-jean,135,3,269
billie-jean,135,4,269.5
billie-jean,136,1,270
billie-jean,136,2,270.5
billie-jean,136,3,271
billie-jean,136,4,271.5
billie-jean,137,1,272
billie-jean,137,2,272.5
billie-jean,137,3,273
billie-jean,137,4,273.5
billie-jean,138,1,274
billie-jean,138,2,274.5
billie-jean,138,3,275
billie-jean,138,4,275.5
billie-jean,139,1,276
billie-jean,139,2,276.5
billie-jean,139,3,277
billie-jean,139,4,277.5
billie-jean,140,1,278
billie-jean,140,2,278.5
billie-jean,140,3,279
billie-jean,140,4,279.5
billie-jean,141,1,280
billie-jean,141,2,280.5
billie-jean,141,3,281
billie-jean,141,4,281.5
