songId,bar,time
bohemian-rhapsody,1,0
bohemian-rhapsody,2,1.538
bohemian-rhapsody,3,3.077
bohemian-rhapsody,4,4.615
bohemian-rhapsody,5,6.154
bohemian-rhapsody,6,7.692
bohemian-rhapsody,7,9.231
bohemian-rhapsody,8,10.769
bohemian-rhapsody,9,12.308
bohemian-rhapsody,10,13.846
bohemian-rhapsody,11,15.385
bohemian-rhapsody,12,16.923
bohemian-rhapsody,13,18.462
bohemian-rhapsody,14,20
bohemian-rhapsody,15,21.538
bohemian-rhapsody,16,23.077
bohemian-rhapsody,17,24.615
bohemian-rhapsody,18,26.154
bohemian-rhapsody,19,27.692
bohemian-rhapsody,20,29.231
bohemian-rhapsody,21,30.769
bohemian-rhapsody,22,32.308
bohemian-rhapsody,23,33.846
bohemian-rhapsody,24,35.385
bohemian-rhapsody,25,36.923
bohemian-rhapsody,26,38.462
bohemian-rhapsody,27,40
bohemian-rhapsody,28,41.538
bohemian-rhapsody,29,43.077
bohemian-rhapsody,30,44.615
bohemian-rhapsody,31,46.154
bohemian-rhapsody,32,47.692
bohemian-rhapsody,33,49.231
bohemian-rhapsody,34,50.769
bohemian-rhapsody,35,52.308
bohemian-rhapsody,36,53.846
bohemian-rhapsody,37,55.385
bohemian-rhapsody,38,56.923
bohemian-rhapsody,39,58.462
bohemian-rhapsody,40,60
bohemian-rhapsody,41,61.538
bohemian-rhapsody,42,63.077
bohemian-rhapsody,43,64.615
bohemian-rhapsody,44,66.154
bohemian-rhapsody,45,67.692
bohemian-rhapsody,46,69.231
bohemian-rhapsody,47,70.769
bohemian-rhapsody,48,72.308
bohemian-rhapsody,49,73.846
bohemian-rhapsody,50,75.385
bohemian-rhapsody,51,76.923
bohemian-rhapsody,52,78.462
bohemian-rhapsody,53,80
bohemian-rhapsody,54,81.538
bohemian-rhapsody,55,83.077
bohemian-rhapsody,56,84.615
bohemian-rhapsody,57,86.154
bohemian-rhapsody,58,87.692
bohemian-rhapsody,59,89.231
bohemian-rhapsody,60,90.769
bohemian-rhapsody,61,92.308
bohemian-rhapsody,62,93.846
bohemian-rhapsody,63,95.385
bohemian-rhapsody,64,96.923
bohemian-rhapsody,65,98.462
bohemian-rhapsody,66,100
bohemian-rhapsody,67,101.538
