songId,bar,beat,time
bohemian-rhapsody,1,1,0
bohemian-rhapsody,1,2,0.769
bohemian-rhapsody,2,1,1.538
bohemian-rhapsody,2,2,2.308
bohemian-rhapsody,3,1,3.077
bohemian-rhapsody,3,2,3.846
bohemian-rhapsody,4,1,4.615
bohemian-rhapsody,4,2,5.385
bohemian-rhapsody,5,1,6.154
bohemian-rhapsody,5,2,6.923
bohemian-rhapsody,6,1,7.692
bohemian-rhapsody,6,2,8.462
bohemian-rhapsody,7,1,9.231
bohemian-rhapsody,7,2,10
bohemian-rhapsody,8,1,10.769
bohemian-rhapsody,8,2,11.538
bohemian-rhapsody,9,1,12.308
bohemian-rhapsody,9,2,13.077
bohemian-rhapsody,10,1,13.846
bohemian-rhapsody,10,2,14.615
bohemian-rhapsody,11,1,15.385
bohemian-rhapsody,11,2,16.154
bohemian-rhapsody,12,1,16.923
bohemian-rhapsody,12,2,17.692
bohemian-rhapsody,13,1,18.462
bohemian-rhapsody,13,2,19.231
bohemian-rhapsody,14,1,20
bohemian-rhapsody,14,2,20.769
bohemian-rhapsody,15,1,21.538
bohemian-rhapsody,15,2,22.308
bohemian-rhapsody,16,1,23.077
bohemian-rhapsody,16,2,23.846
bohemian-rhapsody,17,1,24.615
bohemian-rhapsody,17,2,25.385
bohemian-rhapsody,18,1,26.154
bohemian-rhapsody,18,2,26.923
bohemian-rhapsody,19,1,27.692
bohemian-rhapsody,19,2,28.462
bohemian-rhapsody,20,1,29.231
bohemian-rhapsody,20,2,30
bohemian-rhapsody,21,1,30.769
bohemian-rhapsody,21,2,31.538
bohemian-rhapsody,22,1,32.308
bohemian-rhapsody,22,2,33.077
bohemian-rhapsody,23,1,33.846
bohemian-rhapsody,23,2,34.615
bohemian-rhapsody,24,1,35.385
bohemian-rhapsody,24,2,36.154
bohemian-rhapsody,25,1,36.923
bohemian-rhapsody,25,2,37.692
bohemian-rhapsody,26,1,38.462
bohemian-rhapsody,26,2,39.231
bohemian-rhapsody,27,1,40
bohemian-rhapsody,27,2,40.769
bohemian-rhapsody,28,1,41.538
bohemian-rhapsody,28,2,42.308
bohemian-rhapsody,29,1,43.077
bohemian-rhapsody,29,2,43.846
bohemian-rhapsody,30,1,44.615
bohemian-rhapsody,30,2,45.385
bohemian-rhapsody,31,1,46.154
bohemian-rhapsody,31,2,46.923
bohemian-rhapsody,32,1,47.692
bohemian-rhapsody,32,2,48.462
bohemian-rhapsody,33,1,49.231
bohemian-rhapsody,33,2,50
bohemian-rhapsody,34,1,50.769
bohemian-rhapsody,34,2,51.538
bohemian-rhapsody,35,1,52.308
bohemian-rhapsody,35,2,53.077
