songId,time,midi,name,duration,velocity
bohemian-rhapsody,15.385,46,A#2,3.045,0.945
bohemian-rhapsody,15.385,53,F3,2.652,0.969
bohemian-rhapsody,15.385,58,A#3,0.329,0.969
bohemian-rhapsody,15.385,61,C#4,0.481,0.969
bohemian-rhapsody,15.385,65,F4,0.417,0.961
bohemian-rhapsody,15.769,58,A#3,0.425,0.748
bohemian-rhapsody,16.154,61,C#4,0.449,0.953
bohemian-rhapsody,16.154,65,F4,0.353,0.961
bohemian-rhapsody,16.538,58,A#3,0.433,0.819
bohemian-rhapsody,16.923,61,C#4,0.457,0.953
bohemian-rhapsody,16.923,65,F4,0.385,0.961
bohemian-rhapsody,17.308,58,A#3,0.465,0.858
bohemian-rhapsody,17.692,61,C#4,0.449,0.945
bohemian-rhapsody,17.692,65,F4,0.417,0.945
bohemian-rhapsody,18.077,58,A#3,0.160,0.913
bohemian-rhapsody,18.462,49,C#3,6.146,0.969
bohemian-rhapsody,18.462,56,G#3,2.829,0.961
bohemian-rhapsody,18.462,59,B3,0.288,0.969
bohemian-rhapsody,18.462,61,C#4,0.401,0.969
bohemian-rhapsody,18.462,65,F4,0.449,0.969
bohemian-rhapsody,18.846,59,B3,0.465,0.929
bohemian-rhapsody,19.231,61,C#4,0.449,0.961
bohemian-rhapsody,19.231,65,F4,0.409,0.969
bohemian-rhapsody,19.615,59,B3,0.425,0.866
bohemian-rhapsody,20.000,61,C#4,0.449,0.953
bohemian-rhapsody,20.000,65,F4,0.417,0.929
bohemian-rhapsody,20.385,59,B3,0.433,0.921
bohemian-rhapsody,20.769,61,C#4,0.513,0.945
bohemian-rhapsody,20.769,65,F4,0.361,0.961
bohemian-rhapsody,21.154,59,B3,0.176,0.921
bohemian-rhapsody,21.538,42,F#2,3.085,0.953
bohemian-rhapsody,21.538,54,F#3,3.053,0.929
bohemian-rhapsody,21.538,61,C#4,0.481,0.969
bohemian-rhapsody,21.538,66,F#4,0.473,0.929
bohemian-rhapsody,21.538,70,A#4,0.433,0.953
bohemian-rhapsody,21.923,58,A#3,0.425,0.913
bohemian-rhapsody,22.308,61,C#4,0.417,0.961
bohemian-rhapsody,22.308,66,F#4,0.385,0.953
