songId,bar,beat,time
dancing-queen,1,1,0
dancing-queen,1,2,0.598
dancing-queen,1,3,1.195
dancing-queen,1,4,1.793
dancing-queen,2,1,2.39
dancing-queen,2,2,2.988
dancing-queen,2,3,3.586
dancing-queen,2,4,4.183
dancing-queen,3,1,4.781
dancing-queen,3,2,5.378
dancing-queen,3,3,5.976
dancing-queen,3,4,6.574
dancing-queen,4,1,7.171
dancing-queen,4,2,7.769
dancing-queen,4,3,8.367
dancing-queen,4,4,8.964
dancing-queen,5,1,9.562
dancing-queen,5,2,10.159
dancing-queen,5,3,10.757
dancing-queen,5,4,11.355
dancing-queen,6,1,11.952
dancing-queen,6,2,12.55
dancing-queen,6,3,13.147
dancing-queen,6,4,13.745
dancing-queen,7,1,14.343
dancing-queen,7,2,14.94
dancing-queen,7,3,15.538
dancing-queen,7,4,16.135
dancing-queen,8,1,16.733
dancing-queen,8,2,17.331
dancing-queen,8,3,17.928
dancing-queen,8,4,18.526
dancing-queen,9,1,19.124
dancing-queen,9,2,19.721
dancing-queen,9,3,20.319
dancing-queen,9,4,20.916
dancing-queen,10,1,21.514
dancing-queen,10,2,22.112
dancing-queen,10,3,22.709
dancing-queen,10,4,23.307
dancing-queen,11,1,23.904
dancing-queen,11,2,24.502
dancing-queen,11,3,25.1
dancing-queen,11,4,25.697
dancing-queen,12,1,26.295
dancing-queen,12,2,26.892
dancing-queen,12,3,27.49
dancing-queen,12,4,28.088
dancing-queen,13,1,28.685
dancing-queen,13,2,29.283
dancing-queen,13,3,29.88
dancing-queen,13,4,30.478
dancing-queen,14,1,31.076
dancing-queen,14,2,31.673
dancing-queen,14,3,32.271
dancing-queen,14,4,32.869
dancing-queen,15,1,33.466
dancing-queen,15,2,34.064
dancing-queen,15,3,34.661
dancing-queen,15,4,35.259
dancing-queen,16,1,35.857
dancing-queen,16,2,36.454
dancing-queen,16,3,37.052
dancing-queen,16,4,37.649
dancing-queen,17,1,38.247
dancing-queen,17,2,38.845
dancing-queen,17,3,39.442
dancing-queen,17,4,40.04
dancing-queen,18,1,40.637
dancing-queen,18,2,41.235
dancing-queen,18,3,41.833
dancing-queen,18,4,42.43
dancing-queen,19,1,43.028
dancing-queen,19,2,43.625
dancing-queen,19,3,44.223
dancing-queen,19,4,44.821
dancing-queen,20,1,45.418
dancing-queen,20,2,46.016
dancing-queen,20,3,46.614
dancing-queen,20,4,47.211
dancing-queen,21,1,47.809
dancing-queen,21,2,48.406
dancing-queen,21,3,49.004
dancing-queen,21,4,49.602
dancing-queen,22,1,50.199
dancing-queen,22,2,50.797
dancing-queen,22,3,51.394
dancing-queen,22,4,51.992
dancing-queen,23,1,52.59
dancing-queen,23,2,53.187
dancing-queen,23,3,53.785
dancing-queen,23,4,54.382
dancing-queen,24,1,54.98
dancing-queen,24,2,55.578
dancing-queen,24,3,56.175
dancing-queen,24,4,56.773
dancing-queen,25,1,57.371
dancing-queen,25,2,57.968
dancing-queen,25,3,58.566
dancing-queen,25,4,59.163
dancing-queen,26,1,59.761
dancing-queen,26,2,60.359
dancing-queen,26,3,60.956
dancing-queen,26,4,61.554
dancing-queen,27,1,62.151
dancing-queen,27,2,62.749
dancing-queen,27,3,63.347
dancing-queen,27,4,63.944
dancing-queen,28,1,64.542
dancing-queen,28,2,65.139
dancing-queen,28,3,65.737
dancing-queen,28,4,66.335
dancing-queen,29,1,66.932
dancing-queen,29,2,67.53
dancing-queen,29,3,68.127
dancing-queen,29,4,68.725
dancing-queen,30,1,69.323
dancing-queen,30,2,69.92
dancing-queen,30,3,70.518
dancing-queen,30,4,71.116
dancing-queen,31,1,71.713
dancing-queen,31,2,72.311
dancing-queen,31,3,72.908
dancing-queen,31,4,73.506
dancing-queen,32,1,74.104
dancing-queen,32,2,74.701
dancing-queen,32,3,75.299
dancing-queen,32,4,75.896
dancing-queen,33,1,76.494
dancing-queen,33,2,77.092
dancing-queen,33,3,77.689
dancing-queen,33,4,78.287
dancing-queen,34,1,78.884
dancing-queen,34,2,79.482
dancing-queen,34,3,80.08
dancing-queen,34,4,80.677
dancing-queen,35,1,81.275
dancing-queen,35,2,81.873
dancing-queen,35,3,82.47
dancing-queen,35,4,83.068
dancing-queen,36,1,83.665
dancing-queen,36,2,84.263
dancing-queen,36,3,84.861
dancing-queen,36,4,85.458
dancing-queen,37,1,86.056
dancing-queen,37,2,86.653
dancing-queen,37,3,87.251
dancing-queen,37,4,87.849
dancing-queen,38,1,88.446
dancing-queen,38,2,89.044
dancing-queen,38,3,89.641
dancing-queen,38,4,90.239
dancing-queen,39,1,90.837
dancing-queen,39,2,91.434
dancing-queen,39,3,92.032
dancing-queen,39,4,92.629
dancing-queen,40,1,93.227
dancing-queen,40,2,93.825
dancing-queen,40,3,94.422
dancing-queen,40,4,95.02
dancing-queen,41,1,95.618
dancing-queen,41,2,96.215
dancing-queen,41,3,96.813
dancing-queen,41,4,97.41
dancing-queen,42,1,98.008
dancing-queen,42,2,98.606
dancing-queen,42,3,99.203
dancing-queen,42,4,99.801
dancing-queen,43,1,100.398
dancing-queen,43,2,100.996
dancing-queen,43,3,101.594
dancing-queen,43,4,102.191
dancing-queen,44,1,102.789
dancing-queen,44,2,103.386
dancing-queen,44,3,103.984
dancing-queen,44,4,104.582
dancing-queen,45,1,105.179
dancing-queen,45,2,105.777
dancing-queen,45,3,106.375
dancing-queen,45,4,106.972
dancing-queen,46,1,107.57
dancing-queen,46,2,108.167
dancing-queen,46,3,108.765
dancing-queen,46,4,109.363
dancing-queen,47,1,109.96
dancing-queen,47,2,110.558
dancing-queen,47,3,111.155
dancing-queen,47,4,111.753
dancing-queen,48,1,112.351
dancing-queen,48,2,112.948
dancing-queen,48,3,113.546
dancing-queen,48,4,114.143
dancing-queen,49,1,114.741
dancing-queen,49,2,115.339
dancing-queen,49,3,115.936
dancing-queen,49,4,116.534
dancing-queen,50,1,117.131
dancing-queen,50,2,117.729
dancing-queen,50,3,118.327
dancing-queen,50,4,118.924
dancing-queen,51,1,119.522
dancing-queen,51,2,120.12
dancing-queen,51,3,120.717
dancing-queen,51,4,121.315
dancing-queen,52,1,121.912
dancing-queen,52,2,122.51
dancing-queen,52,3,123.108
dancing-queen,52,4,123.705
dancing-queen,53,1,124.303
dancing-queen,53,2,124.9
dancing-queen,53,3,125.498
dancing-queen,53,4,126.096
dancing-queen,54,1,126.693
dancing-queen,54,2,127.291
dancing-queen,54,3,127.888
dancing-queen,54,4,128.486
dancing-queen,55,1,129.084
dancing-queen,55,2,129.681
dancing-queen,55,3,130.279
dancing-queen,55,4,130.876
dancing-queen,56,1,131.474
dancing-queen,56,2,132.072
dancing-queen,56,3,132.669
dancing-queen,56,4,133.267
dancing-queen,57,1,133.865
dancing-queen,57,2,134.462
dancing-queen,57,3,135.06
dancing-queen,57,4,135.657
dancing-queen,58,1,136.255
dancing-queen,58,2,136.853
dancing-queen,58,3,137.45
dancing-queen,58,4,138.048
dancing-queen,59,1,138.645
dancing-queen,59,2,139.243
dancing-queen,59,3,139.841
dancing-queen,59,4,140.438
dancing-queen,60,1,141.036
dancing-queen,60,2,141.633
dancing-queen,60,3,142.231
dancing-queen,60,4,142.829
dancing-queen,61,1,143.426
dancing-queen,61,2,144.024
dancing-queen,61,3,144.622
dancing-queen,61,4,145.219
dancing-queen,62,1,145.817
dancing-queen,62,2,146.414
dancing-queen,62,3,147.012
dancing-queen,62,4,147.61
dancing-queen,63,1,148.207
dancing-queen,63,2,148.805
dancing-queen,63,3,149.402
dancing-queen,63,4,150
dancing-queen,64,1,150.598
dancing-queen,64,2,151.195
dancing-queen,64,3,151.793
dancing-queen,64,4,152.39
dancing-queen,65,1,152.988
dancing-queen,65,2,153.586
dancing-queen,65,3,154.183
dancing-queen,65,4,154.781
dancing-queen,66,1,155.378
dancing-queen,66,2,155.976
dancing-queen,66,3,156.574
dancing-queen,66,4,157.171
dancing-queen,67,1,157.769
dancing-queen,67,2,158.367
dancing-queen,67,3,158.964
dancing-queen,67,4,159.562
dancing-queen,68,1,160.159
dancing-queen,68,2,160.757
dancing-queen,68,3,161.355
dancing-queen,68,4,161.952
dancing-queen,69,1,162.55
dancing-queen,69,2,163.147
dancing-queen,69,3,163.745
dancing-queen,69,4,164.343
dancing-queen,70,1,164.94
dancing-queen,70,2,165.538
dancing-queen,70,3,166.135
dancing-queen,70,4,166.733
dancing-queen,71,1,167.331
dancing-queen,71,2,167.928
dancing-queen,71,3,168.526
dancing-queen,71,4,169.124
dancing-queen,72,1,169.721
dancing-queen,72,2,170.319
dancing-queen,72,3,170.916
dancing-queen,72,4,171.514
dancing-queen,73,1,172.112
dancing-queen,73,2,172.709
dancing-queen,73,3,173.307
dancing-queen,73,4,173.904
dancing-queen,74,1,174.502
dancing-queen,74,2,175.1
dancing-queen,74,3,175.697
dancing-queen,74,4,176.295
dancing-queen,75,1,176.892
dancing-queen,75,2,177.49
dancing-queen,75,3,178.088
dancing-queen,75,4,178.685
dancing-queen,76,1,179.283
dancing-queen,76,2,179.88
dancing-queen,76,3,180.478
dancing-queen,76,4,181.076
dancing-queen,77,1,181.673
dancing-queen,77,2,182.271
dancing-queen,77,3,182.869
dancing-queen,77,4,183.466
dancing-queen,78,1,184.064
dancing-queen,78,2,184.661
dancing-queen,78,3,185.259
dancing-queen,78,4,185.857
dancing-queen,79,1,186.454
dancing-queen,79,2,187.052
dancing-queen,79,3,187.649
dancing-queen,79,4,188.247
dancing-queen,80,1,188.845
dancing-queen,80,2,189.442
dancing-queen,80,3,190.04
dancing-queen,80,4,190.637
dancing-queen,81,1,191.235
dancing-queen,81,2,191.833
dancing-queen,81,3,192.43
dancing-queen,81,4,193.028
dancing-queen,82,1,193.625
dancing-queen,82,2,194.223
dancing-queen,82,3,194.821
dancing-queen,82,4,195.418
dancing-queen,83,1,196.016
dancing-queen,83,2,196.614
dancing-queen,83,3,197.211
dancing-queen,83,4,197.809
dancing-queen,84,1,198.406
dancing-queen,84,2,199.004
dancing-queen,84,3,199.602
dancing-queen,84,4,200.199
dancing-queen,85,1,200.797
dancing-queen,85,2,201.394
dancing-queen,85,3,201.992
dancing-queen,85,4,202.59
dancing-queen,86,1,203.187
dancing-queen,86,2,203.785
dancing-queen,86,3,204.382
dancing-queen,86,4,204.98
dancing-queen,87,1,205.578
dancing-queen,87,2,206.175
dancing-queen,87,3,206.773
dancing-queen,87,4,207.371
dancing-queen,88,1,207.968
dancing-queen,88,2,208.566
dancing-queen,88,3,209.163
dancing-queen,88,4,209.761
dancing-queen,89,1,210.359
dancing-queen,89,2,210.956
dancing-queen,89,3,211.554
dancing-queen,89,4,212.151
dancing-queen,90,1,212.749
dancing-queen,90,2,213.347
dancing-queen,90,3,213.944
dancing-queen,90,4,214.542
dancing-queen,91,1,215.139
dancing-queen,91,2,215.737
dancing-queen,91,3,216.335
dancing-queen,91,4,216.932
dancing-queen,92,1,217.53
dancing-queen,92,2,218.127
dancing-queen,92,3,218.725
dancing-queen,92,4,219.323
dancing-queen,93,1,219.92
dancing-queen,93,2,220.518
dancing-queen,93,3,221.116
dancing-queen,93,4,221.713
dancing-queen,94,1,222.311
dancing-queen,94,2,222.908
dancing-queen,94,3,223.506
dancing-queen,94,4,224.104
dancing-queen,95,1,224.701
dancing-queen,95,2,225.299
dancing-queen,95,3,225.896
dancing-queen,95,4,226.494
dancing-queen,96,1,227.092
dancing-queen,96,2,227.689
dancing-queen,96,3,228.287
dancing-queen,96,4,228.884
dancing-queen,97,1,229.482
dancing-queen,97,2,230.08
dancing-queen,97,3,230.677
dancing-queen,97,4,231.275
dancing-queen,98,1,231.873
dancing-queen,98,2,232.47
dancing-queen,98,3,233.068
dancing-queen,98,4,233.665
dancing-queen,99,1,234.263
dancing-queen,99,2,234.861
dancing-queen,99,3,235.458
dancing-queen,99,4,236.056
