songId,bar,time
fur-elise,1,0
fur-elise,2,1.132
fur-elise,3,2.264
fur-elise,4,3.396
fur-elise,5,4.528
fur-elise,6,5.66
fur-elise,7,6.792
fur-elise,8,7.925
fur-elise,9,9.057
fur-elise,10,10.189
fur-elise,11,11.321
fur-elise,12,12.453
fur-elise,13,13.585
fur-elise,14,14.717
fur-elise,15,15.849
fur-elise,16,16.981
fur-elise,17,18.113
fur-elise,18,19.245
fur-elise,19,20.377
fur-elise,20,21.509
fur-elise,21,22.642
fur-elise,22,23.774
fur-elise,23,24.906
fur-elise,24,26.038
fur-elise,25,27.17
fur-elise,26,28.302
fur-elise,27,29.434
fur-elise,28,30.566
fur-elise,29,31.698
fur-elise,30,32.83
fur-elise,31,33.962
fur-elise,32,35.094
fur-elise,33,36.226
fur-elise,34,37.358
fur-elise,35,38.491
fur-elise,36,39.623
fur-elise,37,40.755
fur-elise,38,41.887
fur-elise,39,43.019
fur-elise,40,44.151
fur-elise,41,45.283
fur-elise,42,46.415
fur-elise,43,47.547
fur-elise,44,48.679
fur-elise,45,49.811
fur-elise,46,50.943
fur-elise,47,52.075
fur-elise,48,53.208
fur-elise,49,54.34
fur-elise,50,55.472
fur-elise,51,56.604
fur-elise,52,57.736
fur-elise,53,58.868
fur-elise,54,60
fur-elise,55,61.132
fur-elise,56,62.264
fur-elise,57,63.396
fur-elise,58,64.528
fur-elise,59,65.66
fur-elise,60,66.792
fur-elise,61,67.925
fur-elise,62,69.057
fur-elise,63,70.189
fur-elise,64,71.321
fur-elise,65,72.453
fur-elise,66,73.585
fur-elise,67,74.717
fur-elise,68,75.849
fur-elise,69,76.981
fur-elise,70,78.113
fur-elise,71,79.245
fur-elise,72,80.377
fur-elise,73,81.509
fur-elise,74,82.642
fur-elise,75,83.774
fur-elise,76,84.906
fur-elise,77,86.038
fur-elise,78,87.17
fur-elise,79,88.302
fur-elise,80,89.434
fur-elise,81,90.566
fur-elise,82,91.698
fur-elise,83,92.83
fur-elise,84,93.962
fur-elise,85,95.094
fur-elise,86,96.226
fur-elise,87,97.358
fur-elise,88,98.491
fur-elise,89,99.623
fur-elise,90,100.755
fur-elise,91,101.887
fur-elise,92,103.019
fur-elise,93,104.151
fur-elise,94,105.283
fur-elise,95,106.415
fur-elise,96,107.547
fur-elise,97,108.679
fur-elise,98,109.811
fur-elise,99,110.943
fur-elise,100,112.075
fur-elise,101,113.208
fur-elise,102,114.34
fur-elise,103,115.472
fur-elise,104,116.604
fur-elise,105,117.736
fur-elise,106,118.868
fur-elise,107,120
fur-elise,108,121.132
fur-elise,109,122.264
fur-elise,110,123.396
fur-elise,111,124.528
fur-elise,112,125.66
fur-elise,113,126.792
fur-elise,114,127.925
fur-elise,115,129.057
fur-elise,116,130.189
