songId,bar,beat,time
fur-elise,1,1,0
fur-elise,1,2,0.377
fur-elise,1,3,0.755
fur-elise,2,1,1.132
fur-elise,2,2,1.509
fur-elise,2,3,1.887
fur-elise,3,1,2.264
fur-elise,3,2,2.642
fur-elise,3,3,3.019
fur-elise,4,1,3.396
fur-elise,4,2,3.774
fur-elise,4,3,4.151
fur-elise,5,1,4.528
fur-elise,5,2,4.906
fur-elise,5,3,5.283
fur-elise,6,1,5.66
fur-elise,6,2,6.038
fur-elise,6,3,6.415
fur-elise,7,1,6.792
fur-elise,7,2,7.17
fur-elise,7,3,7.547
fur-elise,8,1,7.925
fur-elise,8,2,8.302
fur-elise,8,3,8.679
fur-elise,9,1,9.057
fur-elise,9,2,9.434
fur-elise,9,3,9.811
fur-elise,10,1,10.189
fur-elise,10,2,10.566
fur-elise,10,3,10.943
fur-elise,11,1,11.321
fur-elise,11,2,11.698
fur-elise,11,3,12.075
fur-elise,12,1,12.453
fur-elise,12,2,12.83
fur-elise,12,3,13.208
fur-elise,13,1,13.585
fur-elise,13,2,13.962
fur-elise,13,3,14.34
fur-elise,14,1,14.717
fur-elise,14,2,15.094
fur-elise,14,3,15.472
fur-elise,15,1,15.849
fur-elise,15,2,16.226
fur-elise,15,3,16.604
fur-elise,16,1,16.981
fur-elise,16,2,17.358
fur-elise,16,3,17.736
fur-elise,17,1,18.113
fur-elise,17,2,18.491
fur-elise,17,3,18.868
fur-elise,18,1,19.245
fur-elise,18,2,19.623
fur-elise,18,3,20
fur-elise,19,1,20.377
fur-elise,19,2,20.755
fur-elise,19,3,21.132
fur-elise,20,1,21.509
fur-elise,20,2,21.887
fur-elise,20,3,22.264
fur-elise,21,1,22.642
fur-elise,21,2,23.019
fur-elise,21,3,23.396
fur-elise,22,1,23.774
fur-elise,22,2,24.151
fur-elise,22,3,24.528
fur-elise,23,1,24.906
fur-elise,23,2,25.283
fur-elise,23,3,25.66
fur-elise,24,1,26.038
fur-elise,24,2,26.415
fur-elise,24,3,26.792
fur-elise,25,1,27.17
fur-elise,25,2,27.547
fur-elise,25,3,27.925
fur-elise,26,1,28.302
fur-elise,26,2,28.679
fur-elise,26,3,29.057
fur-elise,27,1,29.434
fur-elise,27,2,29.811
fur-elise,27,3,30.189
fur-elise,28,1,30.566
fur-elise,28,2,30.943
fur-elise,28,3,31.321
fur-elise,29,1,31.698
fur-elise,29,2,32.075
fur-elise,29,3,32.453
fur-elise,30,1,32.83
fur-elise,30,2,33.208
fur-elise,30,3,33.585
fur-elise,31,1,33.962
fur-elise,31,2,34.34
fur-elise,31,3,34.717
fur-elise,32,1,35.094
fur-elise,32,2,35.472
fur-elise,32,3,35.849
fur-elise,33,1,36.226
fur-elise,33,2,36.604
fur-elise,33,3,36.981
fur-elise,34,1,37.358
fur-elise,34,2,37.736
fur-elise,34,3,38.113
fur-elise,35,1,38.491
fur-elise,35,2,38.868
fur-elise,35,3,39.245
fur-elise,36,1,39.623
fur-elise,36,2,40
fur-elise,36,3,40.377
fur-elise,37,1,40.755
fur-elise,37,2,41.132
fur-elise,37,3,41.509
fur-elise,38,1,41.887
fur-elise,38,2,42.264
fur-elise,38,3,42.642
fur-elise,39,1,43.019
fur-elise,39,2,43.396
fur-elise,39,3,43.774
fur-elise,40,1,44.151
fur-elise,40,2,44.528
fur-elise,40,3,44.906
fur-elise,41,1,45.283
fur-elise,41,2,45.66
fur-elise,41,3,46.038
fur-elise,42,1,46.415
fur-elise,42,2,46.792
fur-elise,42,3,47.17
fur-elise,43,1,47.547
fur-elise,43,2,47.925
fur-elise,43,3,48.302
fur-elise,44,1,48.679
fur-elise,44,2,49.057
fur-elise,44,3,49.434
fur-elise,45,1,49.811
fur-elise,45,2,50.189
fur-elise,45,3,50.566
fur-elise,46,1,50.943
fur-elise,46,2,51.321
fur-elise,46,3,51.698
fur-elise,47,1,52.075
fur-elise,47,2,52.453
fur-elise,47,3,52.83
fur-elise,48,1,53.208
fur-elise,48,2,53.585
fur-elise,48,3,53.962
fur-elise,49,1,54.34
fur-elise,49,2,54.717
fur-elise,49,3,55.094
fur-elise,50,1,55.472
fur-elise,50,2,55.849
fur-elise,50,3,56.226
fur-elise,51,1,56.604
fur-elise,51,2,56.981
fur-elise,51,3,57.358
fur-elise,52,1,57.736
fur-elise,52,2,58.113
fur-elise,52,3,58.491
fur-elise,53,1,58.868
fur-elise,53,2,59.245
fur-elise,53,3,59.623
fur-elise,54,1,60
fur-elise,54,2,60.377
fur-elise,54,3,60.755
fur-elise,55,1,61.132
fur-elise,55,2,61.509
fur-elise,55,3,61.887
fur-elise,56,1,62.264
fur-elise,56,2,62.642
fur-elise,56,3,63.019
fur-elise,57,1,63.396
fur-elise,57,2,63.774
fur-elise,57,3,64.151
fur-elise,58,1,64.528
fur-elise,58,2,64.906
fur-elise,58,3,65.283
fur-elise,59,1,65.66
fur-elise,59,2,66.038
fur-elise,59,3,66.415
fur-elise,60,1,66.792
fur-elise,60,2,67.17
fur-elise,60,3,67.547
fur-elise,61,1,67.925
fur-elise,61,2,68.302
fur-elise,61,3,68.679
