songId,time,midi,name,duration,velocity
fur-elise,0.739,76,E5,0.220,0.661
fur-elise,0.934,75,D#5,0.208,0.559
fur-elise,1.138,76,E5,0.220,0.630
fur-elise,1.311,75,D#5,0.192,0.512
fur-elise,1.497,76,E5,0.236,0.661
fur-elise,1.682,71,B4,0.204,0.543
fur-elise,1.865,74,D5,0.189,0.614
fur-elise,2.057,72,C5,0.236,0.575
fur-elise,2.248,45,A2,0.179,0.512
fur-elise,2.255,69,A4,0.469,0.583
fur-elise,2.437,52,E3,0.236,0.520
fur-elise,2.626,57,A3,0.186,0.496
fur-elise,2.811,60,C4,0.157,0.559
fur-elise,2.991,64,E4,0.179,0.528
fur-elise,3.170,69,A4,0.189,0.606
fur-elise,3.340,71,B4,0.192,0.583
fur-elise,3.352,40,E2,0.186,0.535
fur-elise,3.528,52,E3,0.186,0.551
fur-elise,3.695,56,G#3,0.186,0.583
fur-elise,3.871,64,E4,0.245,0.520
fur-elise,4.057,68,G#4,0.208,0.591
fur-elise,4.261,71,B4,0.204,0.630
fur-elise,4.465,45,A2,0.236,0.504
fur-elise,4.469,72,C5,0.267,0.575
fur-elise,4.676,52,E3,0.236,0.488
fur-elise,4.874,57,A3,0.186,0.472
fur-elise,5.066,64,E4,0.214,0.535
fur-elise,5.274,76,E5,0.208,0.567
fur-elise,5.462,75,D#5,0.189,0.480
fur-elise,5.660,76,E5,0.220,0.575
fur-elise,5.836,75,D#5,0.182,0.504
fur-elise,6.013,76,E5,0.236,0.606
fur-elise,6.186,71,B4,0.239,0.598
fur-elise,6.368,74,D5,0.189,0.654
fur-elise,6.550,72,C5,0.220,0.638
fur-elise,6.748,69,A4,0.469,0.575
fur-elise,6.748,45,A2,0.173,0.520
fur-elise,6.950,52,E3,0.173,0.480
fur-elise,7.142,57,A3,0.186,0.457
fur-elise,7.311,60,C4,0.189,0.520
fur-elise,7.500,64,E4,0.173,0.512
fur-elise,7.689,69,A4,0.145,0.543
fur-elise,7.862,40,E2,0.142,0.488
fur-elise,7.862,71,B4,0.220,0.598
fur-elise,8.050,52,E3,0.157,0.614
fur-elise,8.239,56,G#3,0.186,0.622
fur-elise,8.412,64,E4,0.245,0.606
fur-elise,8.604,72,C5,0.192,0.654
fur-elise,8.802,71,B4,0.176,0.630
fur-elise,9.009,69,A4,0.226,0.567
fur-elise,9.013,45,A2,0.230,0.480
fur-elise,9.230,52,E3,0.236,0.551
fur-elise,9.465,57,A3,0.469,0.449
fur-elise,9.877,76,E5,0.198,0.465
fur-elise,10.063,75,D#5,0.198,0.354
fur-elise,10.252,76,E5,0.214,0.465
fur-elise,10.440,75,D#5,0.198,0.354
fur-elise,10.613,76,E5,0.204,0.496
fur-elise,10.805,71,B4,0.236,0.354
fur-elise,11.006,74,D5,0.160,0.370
fur-elise,11.186,72,C5,0.220,0.354
