songId,bar,beat,time
imagine,1,1,0
imagine,1,2,0.769
imagine,1,3,1.538
imagine,1,4,2.308
imagine,2,1,3.077
imagine,2,2,3.846
imagine,2,3,4.615
imagine,2,4,5.385
imagine,3,1,6.154
imagine,3,2,6.923
imagine,3,3,7.692
imagine,3,4,8.462
imagine,4,1,9.231
imagine,4,2,10
imagine,4,3,10.769
imagine,4,4,11.538
imagine,5,1,12.308
imagine,5,2,13.077
imagine,5,3,13.846
imagine,5,4,14.615
imagine,6,1,15.385
imagine,6,2,16.154
imagine,6,3,16.923
imagine,6,4,17.692
imagine,7,1,18.462
imagine,7,2,19.231
imagine,7,3,20
imagine,7,4,20.769
imagine,8,1,21.538
imagine,8,2,22.308
imagine,8,3,23.077
imagine,8,4,23.846
imagine,9,1,24.615
imagine,9,2,25.385
imagine,9,3,26.154
imagine,9,4,26.923
imagine,10,1,27.692
imagine,10,2,28.462
imagine,10,3,29.231
imagine,10,4,30
imagine,11,1,30.769
imagine,11,2,31.538
imagine,11,3,32.308
imagine,11,4,33.077
imagine,12,1,33.846
imagine,12,2,34.615
imagine,12,3,35.385
imagine,12,4,36.154
imagine,13,1,36.923
imagine,13,2,37.692
imagine,13,3,38.462
imagine,13,4,39.231
imagine,14,1,40
imagine,14,2,40.769
imagine,14,3,41.538
imagine,14,4,42.308
imagine,15,1,43.077
imagine,15,2,43.846
imagine,15,3,44.615
imagine,15,4,45.385
imagine,16,1,46.154
imagine,16,2,46.923
imagine,16,3,47.692
imagine,16,4,48.462
imagine,17,1,49.231
imagine,17,2,50
imagine,17,3,50.769
imagine,17,4,51.538
imagine,18,1,52.308
imagine,18,2,53.077
imagine,18,3,53.846
imagine,18,4,54.615
imagine,19,1,55.385
imagine,19,2,56.154
imagine,19,3,56.923
imagine,19,4,57.692
imagine,20,1,58.462
imagine,20,2,59.231
imagine,20,3,60
imagine,20,4,60.769
imagine,21,1,61.538
imagine,21,2,62.308
imagine,21,3,63.077
imagine,21,4,63.846
imagine,22,1,64.615
imagine,22,2,65.385
imagine,22,3,66.154
imagine,22,4,66.923
imagine,23,1,67.692
imagine,23,2,68.462
imagine,23,3,69.231
imagine,23,4,70
imagine,24,1,70.769
imagine,24,2,71.538
imagine,24,3,72.308
imagine,24,4,73.077
imagine,25,1,73.846
imagine,25,2,74.615
imagine,25,3,75.385
imagine,25,4,76.154
imagine,26,1,76.923
imagine,26,2,77.692
imagine,26,3,78.462
imagine,26,4,79.231
imagine,27,1,80
imagine,27,2,80.769
imagine,27,3,81.538
imagine,27,4,82.308
imagine,28,1,83.077
imagine,28,2,83.846
imagine,28,3,84.615
imagine,28,4,85.385
imagine,29,1,86.154
imagine,29,2,86.923
imagine,29,3,87.692
imagine,29,4,88.462
imagine,30,1,89.231
imagine,30,2,90
imagine,30,3,90.769
imagine,30,4,91.538
imagine,31,1,92.308
imagine,31,2,93.077
imagine,31,3,93.846
imagine,31,4,94.615
imagine,32,1,95.385
imagine,32,2,96.154
imagine,32,3,96.923
imagine,32,4,97.692
imagine,33,1,98.462
imagine,33,2,99.231
imagine,33,3,100
imagine,33,4,100.769
imagine,34,1,101.538
imagine,34,2,102.308
imagine,34,3,103.077
imagine,34,4,103.846
imagine,35,1,104.615
imagine,35,2,105.385
imagine,35,3,106.154
imagine,35,4,106.923
imagine,36,1,107.692
imagine,36,2,108.462
imagine,36,3,109.231
imagine,36,4,110
imagine,37,1,110.769
imagine,37,2,111.538
imagine,37,3,112.308
imagine,37,4,113.077
imagine,38,1,113.846
imagine,38,2,114.615
imagine,38,3,115.385
imagine,38,4,116.154
imagine,39,1,116.923
imagine,39,2,117.692
imagine,39,3,118.462
imagine,39,4,119.231
imagine,40,1,120
imagine,40,2,120.769
imagine,40,3,121.538
imagine,40,4,122.308
imagine,41,1,123.077
imagine,41,2,123.846
imagine,41,3,124.615
imagine,41,4,125.385
imagine,42,1,126.154
imagine,42,2,126.923
imagine,42,3,127.692
imagine,42,4,128.462
imagine,43,1,129.231
imagine,43,2,130
imagine,43,3,130.769
imagine,43,4,131.538
imagine,44,1,132.308
imagine,44,2,133.077
imagine,44,3,133.846
imagine,44,4,134.615
imagine,45,1,135.385
imagine,45,2,136.154
imagine,45,3,136.923
imagine,45,4,137.692
imagine,46,1,138.462
imagine,46,2,139.231
imagine,46,3,140
imagine,46,4,140.769
imagine,47,1,141.538
imagine,47,2,142.308
imagine,47,3,143.077
imagine,47,4,143.846
imagine,48,1,144.615
imagine,48,2,145.385
imagine,48,3,146.154
imagine,48,4,146.923
imagine,49,1,147.692
imagine,49,2,148.462
imagine,49,3,149.231
imagine,49,4,150
imagine,50,1,150.769
imagine,50,2,151.538
imagine,50,3,152.308
imagine,50,4,153.077
imagine,51,1,153.846
imagine,51,2,154.615
imagine,51,3,155.385
imagine,51,4,156.154
imagine,52,1,156.923
imagine,52,2,157.692
imagine,52,3,158.462
imagine,52,4,159.231
imagine,53,1,160
imagine,53,2,160.769
imagine,53,3,161.538
imagine,53,4,162.308
imagine,54,1,163.077
imagine,54,2,163.846
imagine,54,3,164.615
imagine,54,4,165.385
imagine,55,1,166.154
imagine,55,2,166.923
imagine,55,3,167.692
imagine,55,4,168.462
imagine,56,1,169.231
imagine,56,2,170
imagine,56,3,170.769
imagine,56,4,171.538
imagine,57,1,172.308
imagine,57,2,173.077
imagine,57,3,173.846
imagine,57,4,174.615
imagine,58,1,175.385
imagine,58,2,176.154
imagine,58,3,176.923
