songId,time,midi,name,duration,velocity
imagine,3.077,52,E3,0.565,0.630
imagine,3.077,55,G3,0.565,0.630
imagine,3.077,36,C2,2.857,0.630
imagine,3.626,48,C3,0.385,0.724
imagine,4.011,52,E3,0.385,0.787
imagine,4.011,55,G3,0.385,0.819
imagine,4.396,48,C3,0.401,0.732
imagine,4.780,52,E3,0.353,0.772
imagine,4.780,55,G3,0.369,0.787
imagine,5.165,48,C3,0.417,0.772
imagine,5.549,59,B3,0.337,0.717
imagine,5.549,52,E3,0.321,0.724
imagine,5.549,55,G3,0.353,0.748
imagine,5.934,48,C3,0.401,0.795
imagine,6.319,60,C4,0.401,0.764
imagine,6.319,41,F2,2.404,0.756
imagine,6.319,53,F3,0.385,0.748
imagine,6.319,57,A3,0.401,0.772
imagine,6.703,48,C3,0.369,0.748
imagine,7.088,57,A3,0.385,0.756
imagine,7.088,53,F3,0.369,0.732
imagine,7.088,60,C4,0.385,0.732
imagine,7.473,48,C3,0.417,0.732
imagine,7.857,60,C4,0.353,0.717
imagine,7.857,57,A3,0.369,0.740
imagine,7.857,53,F3,0.304,0.701
imagine,8.242,48,C3,0.481,0.732
imagine,8.626,53,F3,0.321,0.724
imagine,8.626,57,A3,0.224,0.732
imagine,8.819,58,A#3,0.256,0.701
imagine,9.011,59,B3,0.401,0.756
imagine,9.396,52,E3,0.369,0.630
imagine,9.396,62,D4,0.385,0.787
imagine,9.396,36,C2,2.660,0.772
imagine,9.396,55,G3,0.353,0.685
imagine,9.780,48,C3,0.417,0.724
imagine,10.165,52,E3,0.369,0.756
imagine,10.165,55,G3,0.369,0.756
imagine,10.549,48,C3,0.385,0.724
imagine,10.934,55,G3,0.385,0.748
imagine,10.934,52,E3,0.385,0.748
imagine,11.319,48,C3,0.385,0.756
imagine,11.703,59,B3,0.401,0.717
imagine,11.703,52,E3,0.385,0.709
imagine,11.703,55,G3,0.385,0.693
imagine,12.088,48,C3,0.401,0.717
imagine,12.473,57,A3,0.369,0.709
imagine,12.473,60,C4,0.353,0.732
imagine,12.473,53,F3,0.369,0.732
imagine,12.473,41,F2,2.580,0.756
imagine,12.857,48,C3,0.385,0.732
imagine,13.242,60,C4,0.353,0.764
imagine,13.242,53,F3,0.385,0.732
imagine,13.242,57,A3,0.369,0.732
imagine,13.626,48,C3,0.401,0.717
imagine,14.011,57,A3,0.417,0.724
imagine,14.011,60,C4,0.385,0.740
imagine,14.011,53,F3,0.369,0.717
imagine,14.396,48,C3,0.721,0.732
imagine,14.780,57,A3,0.240,0.740
imagine,14.780,53,F3,0.224,0.732
imagine,14.973,58,A#3,0.240,0.724
imagine,15.165,59,B3,0.417,0.787
imagine,15.549,36,C2,2.660,0.780
imagine,15.549,62,D4,0.353,0.756
imagine,15.549,55,G3,0.321,0.732
imagine,15.549,52,E3,0.353,0.669
imagine,15.934,48,C3,0.417,0.724
imagine,16.319,52,E3,0.385,0.787
imagine,16.319,55,G3,0.369,0.787
imagine,16.703,48,C3,0.385,0.748
imagine,17.088,52,E3,0.369,0.732
imagine,17.088,55,G3,0.369,0.748
imagine,17.473,48,C3,0.401,0.740
imagine,17.857,55,G3,0.353,0.732
imagine,17.857,52,E3,0.337,0.724
imagine,17.857,59,B3,0.385,0.732
imagine,18.242,48,C3,0.417,0.724
imagine,18.626,41,F2,2.628,0.756
imagine,18.626,60,C4,0.369,0.740
imagine,18.626,57,A3,0.369,0.780
imagine,18.626,53,F3,0.353,0.772
imagine,19.011,48,C3,0.401,0.740
imagine,19.396,53,F3,0.401,0.748
