songId,bar,beat,time
piano-man,1,1,0
piano-man,1,2,0.6
piano-man,1,3,1.2
piano-man,2,1,1.8
piano-man,2,2,2.4
piano-man,2,3,3
piano-man,3,1,3.6
piano-man,3,2,4.2
piano-man,3,3,4.8
piano-man,4,1,5.4
piano-man,4,2,6
piano-man,4,3,6.6
piano-man,5,1,7.2
piano-man,5,2,7.8
piano-man,5,3,8.4
piano-man,6,1,9
piano-man,6,2,9.6
piano-man,6,3,10.2
piano-man,7,1,10.8
piano-man,7,2,11.4
piano-man,7,3,12
piano-man,8,1,12.6
piano-man,8,2,13.2
piano-man,8,3,13.8
piano-man,9,1,14.4
piano-man,9,2,15
piano-man,9,3,15.6
piano-man,10,1,16.2
piano-man,10,2,16.8
piano-man,10,3,17.4
piano-man,11,1,18
piano-man,11,2,18.6
piano-man,11,3,19.2
piano-man,12,1,19.8
piano-man,12,2,20.4
piano-man,12,3,21
piano-man,13,1,21.6
piano-man,13,2,22.2
piano-man,13,3,22.8
piano-man,14,1,23.4
piano-man,14,2,24
piano-man,14,3,24.6
piano-man,15,1,25.2
piano-man,15,2,25.8
piano-man,15,3,26.4
piano-man,16,1,27
piano-man,16,2,27.6
piano-man,16,3,28.2
piano-man,17,1,28.8
piano-man,17,2,29.4
piano-man,17,3,30
piano-man,18,1,30.6
piano-man,18,2,31.2
piano-man,18,3,31.8
piano-man,19,1,32.4
piano-man,19,2,33
piano-man,19,3,33.6
piano-man,20,1,34.2
piano-man,20,2,34.8
piano-man,20,3,35.4
piano-man,21,1,36
piano-man,21,2,36.6
piano-man,21,3,37.2
piano-man,22,1,37.8
piano-man,22,2,38.4
piano-man,22,3,39
piano-man,23,1,39.6
piano-man,23,2,40.2
piano-man,23,3,40.8
piano-man,24,1,41.4
piano-man,24,2,42
piano-man,24,3,42.6
piano-man,25,1,43.2
piano-man,25,2,43.8
piano-man,25,3,44.4
piano-man,26,1,45
piano-man,26,2,45.6
piano-man,26,3,46.2
piano-man,27,1,46.8
piano-man,27,2,47.4
piano-man,27,3,48
piano-man,28,1,48.6
piano-man,28,2,49.2
piano-man,28,3,49.8
piano-man,29,1,50.4
piano-man,29,2,51
piano-man,29,3,51.6
piano-man,30,1,52.2
piano-man,30,2,52.8
piano-man,30,3,53.4
piano-man,31,1,54
piano-man,31,2,54.6
piano-man,31,3,55.2
piano-man,32,1,55.8
piano-man,32,2,56.4
piano-man,32,3,57
piano-man,33,1,57.6
piano-man,33,2,58.2
piano-man,33,3,58.8
piano-man,34,1,59.4
piano-man,34,2,60
piano-man,34,3,60.6
piano-man,35,1,61.2
piano-man,35,2,61.8
piano-man,35,3,62.4
piano-man,36,1,63
piano-man,36,2,63.6
piano-man,36,3,64.2
piano-man,37,1,64.8
piano-man,37,2,65.4
piano-man,37,3,66
piano-man,38,1,66.6
piano-man,38,2,67.2
piano-man,38,3,67.8
piano-man,39,1,68.4
piano-man,39,2,69
piano-man,39,3,69.6
piano-man,40,1,70.2
piano-man,40,2,70.8
piano-man,40,3,71.4
piano-man,41,1,72
piano-man,41,2,72.6
piano-man,41,3,73.2
piano-man,42,1,73.8
piano-man,42,2,74.4
piano-man,42,3,75
piano-man,43,1,75.6
piano-man,43,2,76.2
piano-man,43,3,76.8
piano-man,44,1,77.4
piano-man,44,2,78
piano-man,44,3,78.6
piano-man,45,1,79.2
piano-man,45,2,79.8
piano-man,45,3,80.4
piano-man,46,1,81
piano-man,46,2,81.6
piano-man,46,3,82.2
piano-man,47,1,82.8
piano-man,47,2,83.4
piano-man,47,3,84
piano-man,48,1,84.6
piano-man,48,2,85.2
piano-man,48,3,85.8
piano-man,49,1,86.4
piano-man,49,2,87
piano-man,49,3,87.6
piano-man,50,1,88.2
piano-man,50,2,88.8
piano-man,50,3,89.4
piano-man,51,1,90
piano-man,51,2,90.6
piano-man,51,3,91.2
piano-man,52,1,91.8
piano-man,52,2,92.4
piano-man,52,3,93
piano-man,53,1,93.6
piano-man,53,2,94.2
piano-man,53,3,94.8
piano-man,54,1,95.4
piano-man,54,2,96
piano-man,54,3,96.6
piano-man,55,1,97.2
piano-man,55,2,97.8
piano-man,55,3,98.4
piano-man,56,1,99
piano-man,56,2,99.6
piano-man,56,3,100.2
piano-man,57,1,100.8
piano-man,57,2,101.4
piano-man,57,3,102
piano-man,58,1,102.6
piano-man,58,2,103.2
piano-man,58,3,103.8
piano-man,59,1,104.4
piano-man,59,2,105
piano-man,59,3,105.6
piano-man,60,1,106.2
piano-man,60,2,106.8
piano-man,60,3,107.4
piano-man,61,1,108
piano-man,61,2,108.6
piano-man,61,3,109.2
piano-man,62,1,109.8
piano-man,62,2,110.4
piano-man,62,3,111
piano-man,63,1,111.6
piano-man,63,2,112.2
piano-man,63,3,112.8
piano-man,64,1,113.4
piano-man,64,2,114
piano-man,64,3,114.6
piano-man,65,1,115.2
piano-man,65,2,115.8
piano-man,65,3,116.4
piano-man,66,1,117
piano-man,66,2,117.6
piano-man,66,3,118.2
piano-man,67,1,118.8
piano-man,67,2,119.4
piano-man,67,3,120
piano-man,68,1,120.6
piano-man,68,2,121.2
piano-man,68,3,121.8
piano-man,69,1,122.4
piano-man,69,2,123
piano-man,69,3,123.6
piano-man,70,1,124.2
piano-man,70,2,124.8
piano-man,70,3,125.4
piano-man,71,1,126
piano-man,71,2,126.6
piano-man,71,3,127.2
piano-man,72,1,127.8
piano-man,72,2,128.4
piano-man,72,3,129
piano-man,73,1,129.6
piano-man,73,2,130.2
piano-man,73,3,130.8
piano-man,74,1,131.4
piano-man,74,2,132
piano-man,74,3,132.6
piano-man,75,1,133.2
piano-man,75,2,133.8
piano-man,75,3,134.4
piano-man,76,1,135
piano-man,76,2,135.6
piano-man,76,3,136.2
piano-man,77,1,136.8
piano-man,77,2,137.4
piano-man,77,3,138
piano-man,78,1,138.6
piano-man,78,2,139.2
piano-man,78,3,139.8
piano-man,79,1,140.4
piano-man,79,2,141
piano-man,79,3,141.6
piano-man,80,1,142.2
piano-man,80,2,142.8
piano-man,80,3,143.4
piano-man,81,1,144
piano-man,81,2,144.6
piano-man,81,3,145.2
piano-man,82,1,145.8
piano-man,82,2,146.4
piano-man,82,3,147
piano-man,83,1,147.6
piano-man,83,2,148.2
piano-man,83,3,148.8
piano-man,84,1,149.4
piano-man,84,2,150
piano-man,84,3,150.6
piano-man,85,1,151.2
piano-man,85,2,151.8
piano-man,85,3,152.4
piano-man,86,1,153
piano-man,86,2,153.6
piano-man,86,3,154.2
piano-man,87,1,154.8
piano-man,87,2,155.4
piano-man,87,3,156
piano-man,88,1,156.6
piano-man,88,2,157.2
piano-man,88,3,157.8
piano-man,89,1,158.4
piano-man,89,2,159
piano-man,89,3,159.6
piano-man,90,1,160.2
piano-man,90,2,160.8
piano-man,90,3,161.4
piano-man,91,1,162
piano-man,91,2,162.6
piano-man,91,3,163.2
piano-man,92,1,163.8
piano-man,92,2,164.4
piano-man,92,3,165
piano-man,93,1,165.6
piano-man,93,2,166.2
piano-man,93,3,166.8
piano-man,94,1,167.4
piano-man,94,2,168
piano-man,94,3,168.6
piano-man,95,1,169.2
piano-man,95,2,169.8
