songId,time,midi,name,duration,velocity
piano-man,1.450,48,C3,1.110,0.378
piano-man,1.450,64,E4,0.740,0.504
piano-man,1.450,67,G4,0.740,0.567
piano-man,1.835,60,C4,0.735,0.567
piano-man,2.230,67,G4,0.345,0.567
piano-man,2.230,64,E4,0.345,0.504
piano-man,2.615,47,B2,1.080,0.378
piano-man,2.615,67,G4,0.345,0.567
piano-man,2.615,64,E4,0.335,0.504
piano-man,3.005,65,F4,0.525,0.567
piano-man,3.005,62,D4,0.555,0.504
piano-man,3.590,64,E4,0.155,0.567
piano-man,3.785,45,A2,1.075,0.378
piano-man,3.785,65,F4,0.155,0.567
piano-man,3.980,64,E4,0.150,0.567
piano-man,4.175,60,C4,1.450,0.567
piano-man,4.530,55,G3,0.370,0.425
piano-man,4.955,43,G2,1.105,0.378
piano-man,5.310,52,E3,0.765,0.425
piano-man,5.310,55,G3,0.735,0.378
piano-man,5.730,60,C4,0.335,0.567
piano-man,6.125,41,F2,1.105,0.378
piano-man,6.125,57,A3,0.705,0.378
piano-man,6.125,60,C4,0.705,0.567
piano-man,6.480,53,F3,0.770,0.425
piano-man,6.900,57,A3,0.185,0.378
piano-man,6.900,65,F4,0.185,0.567
piano-man,7.090,57,A3,0.185,0.378
piano-man,7.090,65,F4,0.155,0.567
piano-man,7.290,53,F3,1.105,0.425
piano-man,7.290,43,G2,1.105,0.378
piano-man,7.290,60,C4,0.735,0.504
piano-man,7.290,65,F4,0.335,0.567
piano-man,7.680,64,E4,0.335,0.567
piano-man,8.065,57,A3,0.370,0.378
piano-man,8.065,60,C4,0.345,0.567
piano-man,8.460,55,G3,1.100,0.378
piano-man,8.460,52,E3,1.100,0.378
piano-man,8.460,48,C3,1.100,0.425
piano-man,8.460,60,C4,0.335,0.567
piano-man,8.850,60,C4,0.185,0.567
piano-man,9.010,64,E4,0.210,0.567
piano-man,9.205,67,G4,0.210,0.567
piano-man,9.400,72,C5,0.175,0.567
piano-man,9.625,57,A3,1.105,0.378
piano-man,9.625,53,F3,1.105,0.378
piano-man,9.625,48,C3,1.105,0.425
piano-man,9.625,60,C4,0.335,0.567
piano-man,10.010,60,C4,0.180,0.567
piano-man,10.175,65,F4,0.210,0.567
piano-man,10.365,72,C5,0.210,0.567
piano-man,10.560,65,F4,0.185,0.567
piano-man,10.790,59,B3,1.105,0.378
piano-man,10.790,55,G3,1.105,0.378
piano-man,10.790,48,C3,1.105,0.425
piano-man,10.790,60,C4,0.335,0.567
piano-man,11.180,60,C4,0.180,0.567
piano-man,11.340,67,G4,0.210,0.567
piano-man,11.535,72,C5,0.210,0.567
piano-man,11.730,67,G4,0.220,0.567
piano-man,11.955,48,C3,0.375,0.425
piano-man,11.955,57,A3,0.375,0.378
piano-man,11.955,53,F3,0.375,0.378
piano-man,12.350,48,C3,0.365,0.425
piano-man,12.350,55,G3,0.365,0.378
piano-man,12.350,52,E3,0.365,0.378
piano-man,12.735,53,F3,0.365,0.378
